Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
612478,The Golden Ball and Other Stories,Agatha Christie,"Christie, Agatha",,"=""0312981694""","=""9780312981693""",0,4.02,Minotaur Books,Mass Market Paperback,288,2002,1971,,2024/05/29,to-read,to-read (#69),to-read,,,,0,0
131356,Agatha Christie and the Eleven Missing Days,Jared Cade,"Cade, Jared",,"=""0720612802""","=""9780720612806""",0,4.19,Peter Owen Publishers,Paperback,256,2006,1998,,2024/05/29,to-read,to-read (#68),to-read,,,,0,0
10771134,Agatha Christie: Murder in the Making: More Stories and Secrets from Her Notebooks,John  Curran,"Curran, John",,"=""1620904098""","=""9780062065421""",0,4.34,HarperCollinsPublishers,Hardcover,432,2011,2011,,2024/05/29,to-read,to-read (#67),to-read,,,,0,0
6802629,Dan Brown's The Lost Symbol,Nigel Tomm,"Tomm, Nigel",,"=""""","=""""",0,4.26,"CreateSpace Independent Publishing Platform, 2009",ebook,244,2009,,,2024/05/29,to-read,to-read (#66),to-read,,,,0,0
65916344,Holly (Holly Gibney #3),Stephen        King,"King, Stephen",,"=""1668016133""","=""9781668016138""",0,4.08,Scribner,Hardcover,449,2023,2023,,2024/05/29,to-read,to-read (#65),to-read,,,,0,0
17686,"Diaries, 1910-1923",Franz Kafka,"Kafka, Franz",,"=""0805209069""","=""9780805209068""",0,4.23,Schocken,Paperback,521,1988,1949,,2024/05/29,to-read,to-read (#64),to-read,,,,0,0
10964,"Outlander (Outlander, #1)",Diana Gabaldon,"Gabaldon, Diana",,"=""0440242940""","=""9780440242949""",0,4.26,Dell,Mass Market Paperback,850,2005,1991,,2024/05/29,to-read,to-read (#63),to-read,,,,0,0
2623,Great Expectations,Charles Dickens,"Dickens, Charles","Kate Flint, Margaret Cardwell","=""0192833596""","=""9780192833594""",0,3.80,Oxford University Press,Paperback,544,1998,1861,,2024/05/29,to-read,to-read (#62),to-read,,,,0,0
61215351,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""""","=""""",0,4.40,William Morrow,Kindle Edition,432,2022,1954,,2024/05/29,to-read,to-read (#61),to-read,,,,0,0
3590,"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,"Doyle, Arthur Conan",,"=""""","=""""",0,4.30,Oxford University Press,Paperback,389,1998,1892,,2024/05/29,to-read,to-read (#60),to-read,,,,0,0
39988,Matilda,Roald Dahl,"Dahl, Roald",Quentin Blake,"=""043512398X""","=""9780435123987""",0,4.33,New Windmills,Hardcover,240,1992,1988,,2024/05/29,to-read,to-read (#59),to-read,,,,0,0
1953,A Tale of Two Cities,Charles Dickens,"Dickens, Charles",Richard Maxwell,"=""0141439602""","=""9780141439600""",0,3.88,Penguin Books,Paperback,489,2003,1859,,2024/05/29,to-read,to-read (#58),to-read,,,,0,0
2956,The Adventures of Huckleberry Finn,Mark Twain,"Twain, Mark","Guy Cardwell, E.W. Kemble, John Seelye, Walter Trier, Tom Wilson, William Little Hughes","=""0142437174""","=""9780142437179""",0,3.83,Penguin Classics,Paperback,327,2002,1884,,2024/05/29,to-read,to-read (#57),to-read,,,,0,0
38447,"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,"Atwood, Margaret",,"=""038549081X""","=""9780385490818""",0,4.15,Anchor Books,Paperback,311,1998,1985,,2024/05/29,to-read,to-read (#56),to-read,,,,0,0
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""0345538374""","=""9780345538376""",0,4.61,Ballantine Books,Mass Market Paperback,1728,2012,1954,,2024/05/29,to-read,to-read (#55),to-read,,,,0,0
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""0060935464""","=""9780060935467""",0,4.26,Harper Perennial Modern Classics ,Paperback,323,2006,1960,,2024/05/29,to-read,to-read (#54),to-read,,,,0,0
